Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2020,1912,Paediatric Respiratory Medicine,Child,16-64,12-15 Months,5
31-01-2020,1915,Paediatric Dermatology,Child,0-15, 9-12 Months,422
31-01-2020,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,161
31-01-2020,1916,Developmental Paediatrics,Child,0-15,15-18 Months,93
31-01-2020,2000,Plastic Surgery,Child,0-15, 9-12 Months,208
31-01-2020,2102,Child/Adolescent Psychiatry,Child,16-64, 0-3 Months,1
31-01-2020,2500,Rheumatology,Child,0-15, 0-3 Months,103
31-01-2020,2500,Rheumatology,Child,0-15,18 Months +,445
31-01-2020,2500,Rheumatology,Child,16-64, 0-3 Months,4
31-01-2020,2500,Rheumatology,Child,16-64, 3-6 Months,3
31-01-2020,2500,Rheumatology,Child,16-64, 6-9 Months,3
31-01-2020,2500,Rheumatology,Child,16-64,12-15 Months,5
31-01-2020,6700,Clinical (Medical) Genetics,Child,0-15, 0-3 Months,166
31-01-2020,6700,Clinical (Medical) Genetics,Child,0-15,18 Months +,537
31-01-2020,6700,Clinical (Medical) Genetics,Child,16-64, 3-6 Months,48
31-01-2020,6700,Clinical (Medical) Genetics,Child,16-64, 6-9 Months,43
31-01-2020,6700,Clinical (Medical) Genetics,Child,16-64,12-15 Months,22
31-01-2020,7000,Dental Surgery,Child,0-15, 3-6 Months,77
31-01-2020,7000,Dental Surgery,Child,0-15, 6-9 Months,54
31-01-2020,7000,Dental Surgery,Child,0-15,12-15 Months,27
31-01-2020,7000,Dental Surgery,Child,16-64, 9-12 Months,3
31-01-2020,7200,Paediatric Surgery,Child,0-15, 6-9 Months,278
31-01-2020,7200,Paediatric Surgery,Child,16-64, 9-12 Months,3
31-01-2020,7600,Cardio-Thoracic Surgery,Child,0-15, 9-12 Months,1
31-01-2020,7803,Paediatric Urology,Child,0-15, 9-12 Months,306
31-01-2020,7803,Paediatric Urology,Child,16-64,18 Months +,23
31-01-2020,7900,Clinical Immunology,Child,0-15, 0-3 Months,279
31-01-2020,7900,Clinical Immunology,Child,0-15,18 Months +,722
31-01-2020,7900,Clinical Immunology,Child,16-64, 6-9 Months,1
31-01-2020,8800,Immunology,Child,0-15,15-18 Months,51
31-01-2020,100,Cardiology,Adult,16-64, 3-6 Months,124
31-01-2020,100,Cardiology,Adult,16-64, 6-9 Months,139
31-01-2020,100,Cardiology,Adult,16-64,12-15 Months,88
31-01-2020,100,Cardiology,Adult,16-64,15-18 Months,62
31-01-2020,300,Dermatology,Adult,16-64, 9-12 Months,62
31-01-2020,300,Dermatology,Adult,16-64,18 Months +,236
31-01-2020,300,Dermatology,Adult,65+, 0-3 Months,110
31-01-2020,300,Dermatology,Adult,65+, 3-6 Months,58
31-01-2020,1100,Haematology,Adult,16-64, 0-3 Months,30
31-01-2020,1100,Haematology,Adult,16-64, 3-6 Months,25
31-01-2020,1100,Haematology,Adult,65+, 6-9 Months,9
31-01-2020,1300,Neurology,Adult,16-64, 0-3 Months,33
31-01-2020,1300,Neurology,Adult,65+, 6-9 Months,6
31-01-2020,1300,Neurology,Adult,65+,12-15 Months,1
31-01-2020,1800,Orthopaedics,Adult,16-64, 3-6 Months,240
31-01-2020,1800,Orthopaedics,Adult,16-64, 6-9 Months,251
31-01-2020,1800,Orthopaedics,Adult,16-64,12-15 Months,108
31-01-2020,1800,Orthopaedics,Adult,65+, 9-12 Months,70
31-01-2020,2500,Rheumatology,Adult,16-64, 0-3 Months,66
31-01-2020,2500,Rheumatology,Adult,16-64, 6-9 Months,28
31-01-2020,2500,Rheumatology,Adult,16-64,15-18 Months,20
31-01-2020,5000,General Medicine,Adult,16-64,18 Months +,22
31-01-2020,5000,General Medicine,Adult,65+, 3-6 Months,126
31-01-2020,5000,General Medicine,Adult,65+, 6-9 Months,62
31-01-2020,5000,General Medicine,Adult,65+,12-15 Months,12
31-01-2020,5000,General Medicine,Adult,65+,15-18 Months,15
31-01-2020,7800,Urology,Adult,16-64, 0-3 Months,54
31-01-2020,7800,Urology,Adult,16-64, 6-9 Months,10
31-01-2020,7800,Urology,Adult,65+, 3-6 Months,3
31-01-2020,8000,Anaesthetics,Adult,16-64, 9-12 Months,4
31-01-2020,8000,Anaesthetics,Adult,65+, 6-9 Months,3
31-01-2020,8000,Anaesthetics,Adult,65+,12-15 Months,1
31-01-2020,8000,Anaesthetics,Adult,65+,18 Months +,26
31-01-2020,0,Small Volume Specialities,Child,0-15, 3-6 Months,2
31-01-2020,100,Cardiology,Adult,16-64, 9-12 Months,51
31-01-2020,100,Cardiology,Adult,16-64,18 Months +,77
31-01-2020,100,Cardiology,Adult,65+, 0-3 Months,19
31-01-2020,601,Paediatric ENT,Child,0-15, 6-9 Months,897
31-01-2020,601,Paediatric ENT,Child,0-15,15-18 Months,604
31-01-2020,601,Paediatric ENT,Child,16-64, 9-12 Months,21
31-01-2020,1302,Paediatric Neurology,Child,0-15, 0-3 Months,346
31-01-2020,1302,Paediatric Neurology,Child,0-15, 3-6 Months,196
31-01-2020,1302,Paediatric Neurology,Child,0-15, 6-9 Months,88
31-01-2020,1302,Paediatric Neurology,Child,0-15,12-15 Months,39
31-01-2020,1302,Paediatric Neurology,Child,0-15,15-18 Months,16
31-01-2020,1302,Paediatric Neurology,Child,16-64, 6-9 Months,7
31-01-2020,1302,Paediatric Neurology,Child,16-64,12-15 Months,3
31-01-2020,1700,Ophthalmology,Child,0-15, 9-12 Months,308
31-01-2020,1700,Ophthalmology,Child,16-64,18 Months +,120
31-01-2020,1802,Paed Orthopaedic,Child,0-15,18 Months +,573
31-01-2020,1802,Paed Orthopaedic,Child,16-64, 0-3 Months,14
31-01-2020,1900,Paediatrics,Child,0-15, 3-6 Months,640
31-01-2020,1900,Paediatrics,Child,0-15, 6-9 Months,459
31-01-2020,1900,Paediatrics,Child,0-15,12-15 Months,162
31-01-2020,1900,Paediatrics,Child,0-15,15-18 Months,112
31-01-2020,1900,Paediatrics,Child,16-64,15-18 Months,8
31-01-2020,1902,Paed Cardiology,Child,0-15, 3-6 Months,711
31-01-2020,1902,Paed Cardiology,Child,0-15,12-15 Months,377
31-01-2020,1902,Paed Cardiology,Child,0-15,18 Months +,459
31-01-2020,1902,Paed Cardiology,Child,16-64, 0-3 Months,26
31-01-2020,1902,Paed Cardiology,Child,16-64, 6-9 Months,24
31-01-2020,1902,Paed Cardiology,Child,16-64,15-18 Months,22
31-01-2020,1905,Paed Endocrinology,Child,0-15,18 Months +,17
31-01-2020,1905,Paed Endocrinology,Child,16-64, 0-3 Months,4
31-01-2020,1905,Paed Endocrinology,Child,16-64, 3-6 Months,5
31-01-2020,1905,Paed Endocrinology,Child,16-64,12-15 Months,5
31-01-2020,1905,Paed Endocrinology,Child,16-64,15-18 Months,1
31-01-2020,1906,Paed Gastro-Enterol,Child,0-15, 0-3 Months,200
31-01-2020,1906,Paed Gastro-Enterol,Child,0-15, 6-9 Months,94
31-01-2020,1906,Paed Gastro-Enterol,Child,0-15,18 Months +,259
31-01-2020,1906,Paed Gastro-Enterol,Child,16-64, 0-3 Months,5
31-01-2020,1906,Paed Gastro-Enterol,Child,16-64, 3-6 Months,4
31-01-2020,1906,Paed Gastro-Enterol,Child,16-64,12-15 Months,9
31-01-2020,1906,Paed Gastro-Enterol,Child,16-64,15-18 Months,8
31-01-2020,1907,Paed Haematology,Child,0-15,18 Months +,8
31-01-2020,1907,Paed Haematology,Child,16-64, 0-3 Months,1
31-01-2020,1907,Paed Haematology,Child,16-64, 3-6 Months,1
31-01-2020,1909,Paediatric Infectious Diseases,Child,16-64, 0-3 Months,2
31-01-2020,1910,Paed Metabolic Medicine,Child,0-15, 3-6 Months,7
31-01-2020,1911,Paed Nephrology,Child,0-15, 6-9 Months,49
31-01-2020,1911,Paed Nephrology,Child,0-15,18 Months +,5
31-01-2020,1911,Paed Nephrology,Child,16-64, 0-3 Months,1
31-01-2020,1911,Paed Nephrology,Child,16-64,12-15 Months,1
31-01-2020,1912,Paediatric Respiratory Medicine,Child,0-15, 9-12 Months,228
31-01-2020,1915,Paediatric Dermatology,Child,0-15, 0-3 Months,736
31-01-2020,1915,Paediatric Dermatology,Child,0-15, 6-9 Months,592
31-01-2020,1915,Paediatric Dermatology,Child,0-15,15-18 Months,252
31-01-2020,1915,Paediatric Dermatology,Child,16-64, 3-6 Months,17
31-01-2020,1915,Paediatric Dermatology,Child,16-64, 6-9 Months,21
31-01-2020,100,Cardiology,Adult,65+, 3-6 Months,17
31-01-2020,100,Cardiology,Adult,65+,12-15 Months,11
31-01-2020,400,Endocrinology,Adult,16-64, 0-3 Months,47
31-01-2020,400,Endocrinology,Adult,16-64, 3-6 Months,47
31-01-2020,400,Endocrinology,Adult,16-64,12-15 Months,11
31-01-2020,400,Endocrinology,Adult,16-64,15-18 Months,7
31-01-2020,400,Endocrinology,Adult,65+, 9-12 Months,5
31-01-2020,402,Diabetes Mellitus,Adult,65+, 0-3 Months,18
31-01-2020,402,Diabetes Mellitus,Adult,65+, 6-9 Months,9
31-01-2020,402,Diabetes Mellitus,Adult,65+,15-18 Months,4
31-01-2020,1100,Haematology,Adult,65+, 0-3 Months,16
31-01-2020,1100,Haematology,Adult,65+,18 Months +,5
31-01-2020,1503,Gynaecology,Adult,16-64, 0-3 Months,293
31-01-2020,1503,Gynaecology,Adult,16-64,18 Months +,127
31-01-2020,1503,Gynaecology,Adult,65+, 3-6 Months,17
31-01-2020,1503,Gynaecology,Adult,65+, 6-9 Months,11
31-01-2020,1503,Gynaecology,Adult,65+,12-15 Months,6
31-01-2020,1503,Gynaecology,Adult,65+,15-18 Months,13
31-01-2020,1503,Gynaecology,Child,0-15, 0-3 Months,12
31-01-2020,1503,Gynaecology,Child,0-15, 3-6 Months,5
31-01-2020,1503,Gynaecology,Child,0-15,15-18 Months,1
31-01-2020,1700,Ophthalmology,Adult,16-64,18 Months +,46
31-01-2020,1700,Ophthalmology,Adult,65+, 0-3 Months,74
31-01-2020,1700,Ophthalmology,Adult,65+, 3-6 Months,46
31-01-2020,1700,Ophthalmology,Adult,65+, 6-9 Months,29
31-01-2020,1700,Ophthalmology,Adult,65+,12-15 Months,32
31-01-2020,1700,Ophthalmology,Adult,65+,15-18 Months,33
31-01-2020,1700,Ophthalmology,Child,0-15, 0-3 Months,1
31-01-2020,1900,Paediatrics,Child,0-15, 9-12 Months,57
31-01-2020,1912,Paediatric Respiratory Medicine,Adult,16-64, 9-12 Months,1
31-01-2020,1912,Paediatric Respiratory Medicine,Child,0-15, 0-3 Months,17
31-01-2020,1916,Developmental Paediatrics,Child,0-15, 0-3 Months,12
31-01-2020,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,7
31-01-2020,2600,General Surgery,Adult,16-64, 0-3 Months,449
31-01-2020,2600,General Surgery,Adult,16-64, 3-6 Months,321
31-01-2020,2600,General Surgery,Adult,16-64, 6-9 Months,190
31-01-2020,2600,General Surgery,Adult,16-64,12-15 Months,78
31-01-2020,2600,General Surgery,Adult,16-64,18 Months +,88
31-01-2020,2600,General Surgery,Child,0-15, 3-6 Months,19
31-01-2020,2600,General Surgery,Child,0-15, 6-9 Months,12
31-01-2020,2600,General Surgery,Child,0-15,12-15 Months,15
31-01-2020,2600,General Surgery,Child,0-15,15-18 Months,5
31-01-2020,7800,Urology,Adult,16-64, 9-12 Months,74
31-01-2020,7800,Urology,Adult,65+, 3-6 Months,30
31-01-2020,7800,Urology,Adult,65+,12-15 Months,29
31-01-2020,7800,Urology,Adult,65+,18 Months +,49
31-01-2020,7800,Urology,Child,0-15, 9-12 Months,3
31-01-2020,7800,Urology,Child,0-15,18 Months +,21
31-01-2020,0,Small Volume Specialities,Child,0-15, 0-3 Months,2
31-01-2020,601,Paediatric ENT,Child,0-15, 0-3 Months,1137
31-01-2020,601,Paediatric ENT,Child,0-15, 3-6 Months,833
31-01-2020,601,Paediatric ENT,Child,0-15, 9-12 Months,921
31-01-2020,601,Paediatric ENT,Child,0-15,12-15 Months,629
31-01-2020,601,Paediatric ENT,Child,16-64, 6-9 Months,20
31-01-2020,1302,Paediatric Neurology,Child,16-64,15-18 Months,5
31-01-2020,1402,Paediatric Neurosurgery,Child,0-15, 0-3 Months,45
31-01-2020,1402,Paediatric Neurosurgery,Child,0-15, 6-9 Months,2
31-01-2020,1402,Paediatric Neurosurgery,Child,16-64, 0-3 Months,2
31-01-2020,1503,Gynaecology,Child,16-64, 0-3 Months,3
31-01-2020,1700,Ophthalmology,Child,0-15, 6-9 Months,372
31-01-2020,1802,Paed Orthopaedic,Child,16-64,15-18 Months,24
31-01-2020,1802,Paed Orthopaedic,Child,16-64,18 Months +,89
31-01-2020,1902,Paed Cardiology,Child,0-15,15-18 Months,293
31-01-2020,1902,Paed Cardiology,Child,16-64,18 Months +,34
31-01-2020,1903,Paed Oncology,Child,0-15,15-18 Months,1
31-01-2020,1904,Neonatology,Child,0-15, 0-3 Months,4
31-01-2020,1904,Neonatology,Child,0-15, 3-6 Months,4
31-01-2020,1905,Paed Endocrinology,Child,0-15, 0-3 Months,220
31-01-2020,1905,Paed Endocrinology,Child,0-15, 3-6 Months,161
31-01-2020,1905,Paed Endocrinology,Child,0-15, 6-9 Months,121
31-01-2020,1905,Paed Endocrinology,Child,0-15, 9-12 Months,88
31-01-2020,1905,Paed Endocrinology,Child,0-15,12-15 Months,43
31-01-2020,1905,Paed Endocrinology,Child,16-64, 6-9 Months,8
31-01-2020,1906,Paed Gastro-Enterol,Child,0-15, 3-6 Months,134
31-01-2020,1906,Paed Gastro-Enterol,Child,0-15,12-15 Months,74
31-01-2020,1906,Paed Gastro-Enterol,Child,16-64, 6-9 Months,4
31-01-2020,1907,Paed Haematology,Child,0-15, 0-3 Months,149
31-01-2020,1907,Paed Haematology,Child,0-15, 3-6 Months,61
31-01-2020,1907,Paed Haematology,Child,0-15,12-15 Months,4
31-01-2020,1907,Paed Haematology,Child,16-64, 6-9 Months,3
31-01-2020,1907,Paed Haematology,Child,16-64, 9-12 Months,2
31-01-2020,1909,Paediatric Infectious Diseases,Child,0-15, 0-3 Months,78
31-01-2020,1909,Paediatric Infectious Diseases,Child,0-15, 3-6 Months,12
31-01-2020,1909,Paediatric Infectious Diseases,Child,0-15, 9-12 Months,3
31-01-2020,1911,Paed Nephrology,Child,0-15,15-18 Months,5
31-01-2020,1911,Paed Nephrology,Child,16-64,15-18 Months,1
31-01-2020,1911,Paed Nephrology,Child,16-64,18 Months +,3
31-01-2020,1912,Paediatric Respiratory Medicine,Child,0-15, 3-6 Months,260
31-01-2020,1912,Paediatric Respiratory Medicine,Child,0-15, 6-9 Months,269
31-01-2020,1912,Paediatric Respiratory Medicine,Child,0-15,12-15 Months,141
31-01-2020,1915,Paediatric Dermatology,Child,0-15,18 Months +,1346
31-01-2020,1915,Paediatric Dermatology,Child,16-64, 0-3 Months,11
31-01-2020,1915,Paediatric Dermatology,Child,16-64, 9-12 Months,16
31-01-2020,1915,Paediatric Dermatology,Child,16-64,18 Months +,210
31-01-2020,1916,Developmental Paediatrics,Child,0-15, 0-3 Months,126
31-01-2020,1916,Developmental Paediatrics,Child,0-15, 3-6 Months,142
31-01-2020,1916,Developmental Paediatrics,Child,0-15, 9-12 Months,126
31-01-2020,1916,Developmental Paediatrics,Child,0-15,12-15 Months,73
31-01-2020,1916,Developmental Paediatrics,Child,16-64, 6-9 Months,5
31-01-2020,8003,Pain Relief,Adult,16-64, 0-3 Months,15
31-01-2020,8003,Pain Relief,Adult,16-64, 3-6 Months,1
31-01-2020,600,Otolaryngology (ENT),Adult,16-64, 6-9 Months,375
31-01-2020,600,Otolaryngology (ENT),Adult,16-64,18 Months +,1912
31-01-2020,600,Otolaryngology (ENT),Adult,65+, 3-6 Months,102
31-01-2020,600,Otolaryngology (ENT),Adult,65+,12-15 Months,47
31-01-2020,600,Otolaryngology (ENT),Adult,65+,15-18 Months,54
31-01-2020,600,Otolaryngology (ENT),Child,0-15, 0-3 Months,285
31-01-2020,600,Otolaryngology (ENT),Child,0-15, 6-9 Months,265
31-01-2020,600,Otolaryngology (ENT),Child,0-15,15-18 Months,113
31-01-2020,600,Otolaryngology (ENT),Child,0-15,18 Months +,1057
31-01-2020,1100,Haematology,Adult,16-64, 9-12 Months,8
31-01-2020,1100,Haematology,Adult,65+,18 Months +,5
31-01-2020,1503,Gynaecology,Adult,16-64, 0-3 Months,34
31-01-2020,1503,Gynaecology,Child,0-15, 0-3 Months,1
31-01-2020,1600,Oncology,Adult,16-64, 0-3 Months,3
31-01-2020,1700,Ophthalmology,Adult,16-64, 0-3 Months,40
31-01-2020,1700,Ophthalmology,Adult,16-64,18 Months +,9
31-01-2020,1700,Ophthalmology,Adult,65+, 3-6 Months,35
31-01-2020,1700,Ophthalmology,Adult,65+, 6-9 Months,20
31-01-2020,1700,Ophthalmology,Adult,65+,12-15 Months,3
31-01-2020,1700,Ophthalmology,Adult,65+,15-18 Months,1
31-01-2020,1700,Ophthalmology,Child,0-15, 0-3 Months,93
31-01-2020,1800,Orthopaedics,Adult,65+, 0-3 Months,228
31-01-2020,1800,Orthopaedics,Adult,65+, 6-9 Months,215
31-01-2020,1800,Orthopaedics,Adult,65+,15-18 Months,78
31-01-2020,1800,Orthopaedics,Adult,65+,18 Months +,244
31-01-2020,1800,Orthopaedics,Child,0-15,18 Months +,15
31-01-2020,1900,Paediatrics,Child,0-15, 9-12 Months,7
31-01-2020,2300,Nephrology,Adult,16-64, 9-12 Months,17
31-01-2020,2300,Nephrology,Adult,65+,18 Months +,31
31-01-2020,2500,Rheumatology,Adult,16-64, 9-12 Months,176
31-01-2020,2600,General Surgery,Adult,16-64, 0-3 Months,250
31-01-2020,2600,General Surgery,Adult,16-64, 3-6 Months,4
31-01-2020,2600,General Surgery,Child,0-15, 0-3 Months,9
31-01-2020,2604,Vascular Surgery,Adult,65+, 0-3 Months,71
31-01-2020,2604,Vascular Surgery,Adult,65+, 3-6 Months,81
31-01-2020,2604,Vascular Surgery,Adult,65+, 6-9 Months,63
31-01-2020,2604,Vascular Surgery,Adult,65+,12-15 Months,36
31-01-2020,2604,Vascular Surgery,Adult,65+,15-18 Months,35
31-01-2020,2604,Vascular Surgery,Adult,65+,18 Months +,143
31-01-2020,5000,General Medicine,Adult,16-64, 6-9 Months,119
31-01-2020,5000,General Medicine,Adult,16-64, 9-12 Months,92
31-01-2020,100,Cardiology,Adult,65+, 0-3 Months,158
31-01-2020,100,Cardiology,Adult,65+, 6-9 Months,31
31-01-2020,300,Dermatology,Adult,0-15, 0-3 Months,3
31-01-2020,300,Dermatology,Adult,0-15, 3-6 Months,3
31-01-2020,300,Dermatology,Adult,0-15, 6-9 Months,4
31-01-2020,300,Dermatology,Adult,0-15,12-15 Months,2
31-01-2020,601,Paediatric ENT,Child,16-64,15-18 Months,29
31-01-2020,601,Paediatric ENT,Child,16-64,18 Months +,93
31-01-2020,1302,Paediatric Neurology,Child,0-15,18 Months +,62
31-01-2020,1302,Paediatric Neurology,Child,16-64, 0-3 Months,8
31-01-2020,1302,Paediatric Neurology,Child,16-64, 3-6 Months,4
31-01-2020,1302,Paediatric Neurology,Child,16-64, 9-12 Months,4
31-01-2020,1402,Paediatric Neurosurgery,Child,0-15,15-18 Months,1
31-01-2020,1402,Paediatric Neurosurgery,Child,16-64,15-18 Months,1
31-01-2020,1700,Ophthalmology,Child,0-15,18 Months +,1465
31-01-2020,1700,Ophthalmology,Child,16-64, 0-3 Months,11
31-01-2020,1700,Ophthalmology,Child,16-64, 9-12 Months,11
31-01-2020,1802,Paed Orthopaedic,Child,0-15, 0-3 Months,821
31-01-2020,1802,Paed Orthopaedic,Child,0-15, 3-6 Months,644
31-01-2020,1802,Paed Orthopaedic,Child,0-15, 9-12 Months,429
31-01-2020,1802,Paed Orthopaedic,Child,16-64, 3-6 Months,16
31-01-2020,1802,Paed Orthopaedic,Child,16-64, 6-9 Months,15
31-01-2020,1802,Paed Orthopaedic,Child,16-64, 9-12 Months,17
31-01-2020,1802,Paed Orthopaedic,Child,16-64,12-15 Months,26
31-01-2020,1900,Paediatrics,Child,0-15, 0-3 Months,1315
31-01-2020,1900,Paediatrics,Child,0-15,18 Months +,275
31-01-2020,1900,Paediatrics,Child,16-64, 0-3 Months,12
31-01-2020,1900,Paediatrics,Child,16-64, 3-6 Months,8
31-01-2020,1900,Paediatrics,Child,16-64, 6-9 Months,10
31-01-2020,1900,Paediatrics,Child,16-64, 9-12 Months,11
31-01-2020,1900,Paediatrics,Child,16-64,12-15 Months,10
31-01-2020,1900,Paediatrics,Child,16-64,18 Months +,34
31-01-2020,1902,Paed Cardiology,Child,0-15, 0-3 Months,1007
31-01-2020,1902,Paed Cardiology,Child,0-15, 6-9 Months,607
31-01-2020,1902,Paed Cardiology,Child,0-15, 9-12 Months,544
31-01-2020,1902,Paed Cardiology,Child,16-64, 3-6 Months,32
31-01-2020,1902,Paed Cardiology,Child,16-64,12-15 Months,23
31-01-2020,1903,Paed Oncology,Child,0-15, 0-3 Months,2
31-01-2020,1903,Paed Oncology,Child,0-15, 6-9 Months,2
31-01-2020,1905,Paed Endocrinology,Child,0-15,15-18 Months,20
31-01-2020,1905,Paed Endocrinology,Child,16-64,18 Months +,5
31-01-2020,1906,Paed Gastro-Enterol,Child,0-15,15-18 Months,75
31-01-2020,1906,Paed Gastro-Enterol,Child,16-64, 9-12 Months,7
31-01-2020,1906,Paed Gastro-Enterol,Child,16-64,18 Months +,43
31-01-2020,1907,Paed Haematology,Child,16-64,18 Months +,1
31-01-2020,1910,Paed Metabolic Medicine,Child,0-15, 0-3 Months,51
31-01-2020,1910,Paed Metabolic Medicine,Child,0-15, 6-9 Months,3
31-01-2020,1911,Paed Nephrology,Child,0-15, 0-3 Months,144
31-01-2020,1911,Paed Nephrology,Child,0-15, 3-6 Months,87
31-01-2020,1911,Paed Nephrology,Child,0-15,12-15 Months,12
31-01-2020,1912,Paediatric Respiratory Medicine,Child,16-64, 9-12 Months,2
31-01-2020,1912,Paediatric Respiratory Medicine,Child,16-64,15-18 Months,3
31-01-2020,1912,Paediatric Respiratory Medicine,Child,16-64,18 Months +,24
31-01-2020,1915,Paediatric Dermatology,Child,0-15, 3-6 Months,654
31-01-2020,1915,Paediatric Dermatology,Child,0-15,12-15 Months,257
31-01-2020,1916,Developmental Paediatrics,Child,16-64,15-18 Months,2
31-01-2020,1916,Developmental Paediatrics,Child,16-64,18 Months +,2
31-01-2020,2000,Plastic Surgery,Child,0-15, 0-3 Months,404
31-01-2020,1915,Paediatric Dermatology,Child,16-64,12-15 Months,25
31-01-2020,1915,Paediatric Dermatology,Child,16-64,15-18 Months,24
31-01-2020,1916,Developmental Paediatrics,Child,0-15,18 Months +,174
31-01-2020,1916,Developmental Paediatrics,Child,16-64, 0-3 Months,2
31-01-2020,1916,Developmental Paediatrics,Child,16-64, 3-6 Months,1
31-01-2020,1916,Developmental Paediatrics,Child,16-64,12-15 Months,2
31-01-2020,2000,Plastic Surgery,Child,0-15, 3-6 Months,273
31-01-2020,2000,Plastic Surgery,Child,0-15, 6-9 Months,210
31-01-2020,2000,Plastic Surgery,Child,0-15,12-15 Months,106
31-01-2020,2000,Plastic Surgery,Child,16-64, 0-3 Months,4
31-01-2020,2000,Plastic Surgery,Child,16-64, 6-9 Months,6
31-01-2020,2000,Plastic Surgery,Child,16-64,15-18 Months,9
31-01-2020,2102,Child/Adolescent Psychiatry,Child,0-15, 3-6 Months,20
31-01-2020,2500,Rheumatology,Child,0-15, 9-12 Months,81
31-01-2020,6200,Clinical Neurophysiology,Child,0-15, 3-6 Months,5
31-01-2020,6700,Clinical (Medical) Genetics,Child,0-15, 9-12 Months,146
31-01-2020,6700,Clinical (Medical) Genetics,Child,16-64, 9-12 Months,26
31-01-2020,6700,Clinical (Medical) Genetics,Child,65+, 0-3 Months,6
31-01-2020,6700,Clinical (Medical) Genetics,Child,65+,18 Months +,5
31-01-2020,7000,Dental Surgery,Child,16-64, 0-3 Months,2
31-01-2020,7000,Dental Surgery,Child,16-64,18 Months +,1
31-01-2020,7200,Paediatric Surgery,Child,0-15,18 Months +,7
31-01-2020,7200,Paediatric Surgery,Child,16-64, 0-3 Months,9
31-01-2020,7200,Paediatric Surgery,Child,16-64, 3-6 Months,3
31-01-2020,7200,Paediatric Surgery,Child,16-64,12-15 Months,3
31-01-2020,7600,Cardio-Thoracic Surgery,Child,0-15, 3-6 Months,8
31-01-2020,7600,Cardio-Thoracic Surgery,Child,0-15, 6-9 Months,4
31-01-2020,7600,Cardio-Thoracic Surgery,Child,16-64, 0-3 Months,4
31-01-2020,7803,Paediatric Urology,Child,0-15, 0-3 Months,368
31-01-2020,7803,Paediatric Urology,Child,0-15, 6-9 Months,296
31-01-2020,7803,Paediatric Urology,Child,0-15,15-18 Months,237
31-01-2020,7803,Paediatric Urology,Child,16-64,12-15 Months,2
